idasso	identifiant	type	datedeclaration	lieu_declaration	cp	titre	ancien_titre	nouveau_titre	objet	nouvel_objet	additif_objet	themes	siege_social	web	email	dateparution	numparution	page_debut	page_fin
			14/10/2004	Déclaration à la préfecture du Tarn. 	81600	BOYS & MUSIC. 			organiser des événements musicaux (soirées, anniversaires, etc.). 			11	Les Grèzes, 81600 Rivières			27/11/2004	20040048	5366	
			20/10/2004	Déclaration à la préfecture du Tarn. 	81030	ASSOCIATION DES UROLOGUES DE LA CLINIQUE TOULOUSE-LAUTREC. 			réaliser des recherches, des études et l'enseignement des maladies de l'appareil génital et urinaire. 			13	clinique Toulouse-Lautrec, 2, rue Jacques-Monod, 81030 Albi Cedex 9			27/11/2004	20040048	5366	
			25/10/2004	Déclaration à la sous-préfecture de Castres. 	81230	ASSOCIATION DES JOUEURS DU FOOTBALL-CLUB LACAUNE F.C. LACAUNE. 			organisation de manifestations diverses. 			11	rue Maurice-Ravel, 81230 Lacaune			27/11/2004	20040048	5366	
			25/10/2004	Déclaration à la préfecture du Tarn. 	81120	HARMONIE YIN YANG. 			faire connaître les thérapies énergétiques orientales (acupuncture, qi qong, shiatsu) et occidentales (fleurs de Bach, élisiers floraux, huiles essentielles). 			10	Le Lauzié, 81120 Teillet			27/11/2004	20040048	5366	
			27/10/2004	Déclaration à la sous-préfecture de Castres. 	81100	ARPA (ASSOCIATION REFLEXION PROPOSITION ACTION) TARN. 			encourager la communication entre les habitantes et les habitants du Tarn ; favoriser l'information, la réflexion et l'action en matière culturelle, économique, sociale et humanitaire ; elle se réserve le droit d'étendre géographiquement son activité. 			5,7,14	6, rue Lavoisier, 81100 Castres			27/11/2004	20040048	5366	
			28/10/2004	Déclaration à la préfecture du Tarn. 	81400	LINE DANCIN'MENERGY. 			pratiquer les danses dites Country Dance ou Line Dance. 			11	12, avenue Albert-Thomas, 81400 Carmaux			27/11/2004	20040048	5367	
			28/10/2004	Déclaration à la préfecture du Tarn. 	81600	COMITE RECREATIF ATTRACTIF DES CHIFFRES ET DES LETTRES (CRAC DES CHIFFRES ET DES LETTRES). 			participer aux jeux de société ; organiser des soirées dansantes, des voyages, lotos, vide-greniers, des concours de pétanque, foire aux orchestres, fêtes diverses. 			11	2, place Rives-Thomas, 81600 Gaillac			27/11/2004	20040048	5367	
			3/11/2004	Déclaration à la sous-préfecture de Castres. 	81490	LES AMIS D'HENRI RENOUX. 			veiller à la sauvegarde des oeuvres d'Henri Renoux ainsi qu'à leur rassemblement, à leur recensement et à leur conservation ; perpétuer le souvenir de l'artiste ; prendre toutes initiatives pour faire connaître et diffuser son oeuvre, notamment par des manifestations, des expositions, des rencontres, des publications, etc. 			5	Malacan, 81490 Noailhac			27/11/2004	20040048	5367	
			3/11/2004	Déclaration à la sous-préfecture de Castres. 	81240	THOMAS 306 SPORT. 			aider un équipage de rallye ; organiser des manifestations festives. 			15,11	usine de Bouscayrac, 81240 Rouairoux			27/11/2004	20040048	5367	
			3/11/2004	Déclaration à la sous-préfecture de Castres. 	81530	ATELIER DE LA FONTAINE COUVERTE. 			pratiquer les arts plastiques ; promouvoir les arts plastiques ; organiser des stages, des visites d'expositions, des expositions. 			5	rue de la Fontaine-Couverte, 81530 Viane			27/11/2004	20040048	5367	
			21/10/2004	Déclaration à la préfecture du Tarn. 	81000	CAMINO. 						99	31, boulevard Edouard-Andrieu, 81000 Albi			27/11/2004	20040048	5367	
			28/10/2004	Déclaration à la sous-préfecture de Castres. 	81100	PRESENCE. 						99	Malzac Haut, 81710 Navès			27/11/2004	20040048	5367	
			28/10/2004	Déclaration à la préfecture du Tarn. 	81140	ZAMPANOS. 					animation de rue, de fête, de spectacle ; promotion et développement artistique et culturelle. 	5,11	quartier Santa-Maria, 20232 Oletta		zampanos@wanadoo.fr	27/11/2004	20040048	5367	
			28/10/2004	Déclaration à la préfecture du Tarn. 	81800	LES AMIS DE L'AIKIDO. 						15,11	chemin de Regagnac, 81630 Salvagnac			27/11/2004	20040048	5367	
			8/10/2004	Déclaration à la préfecture du Tarn. 	81350	L'OXER DE LA VERE. 						99	La Coste, 81350 Valderiès			27/11/2004	20040048	5367	
			18/10/2004	Déclaration à la préfecture du Tarn. 	81310	BALADE VERT GRESIGNE. 						99	Les Galaberts, 81310 Lisle-sur-Tarn			27/11/2004	20040048	5367	
			21/10/2004	Déclaration à la préfecture du Tarn. 	81000	L'ENTENTE FUJI KAÏ. 						99	81000, 81000 Albi			27/11/2004	20040048	5367	
			27/10/2004	Déclaration à la sous-préfecture de Castres. 	81100	ANIMATION SOCIALE POUR LA JEUNESSE DE CASTRES. 						11,14	hôtel de ville, 81100 Castres			27/11/2004	20040048	5367	
			29/10/2004	Déclaration à la préfecture du Tarn. 	81400	PAINTBALL BLAYAIS. 						15	mairie, avenue d'Albi, 81400 Blaye-les-Mines		paintballblayais@free.fr	27/11/2004	20040048	5367	
			26/10/2004	Déclaration à la sous-préfecture de Castelsarrasin. 	82400	BOUCH' EN CHOEUR. 			organisation de rencontres de travail et de festivités entre choristes ; gestion de la bonne humeur et de la motivation de l'ensemble vocal. 			11	23, rue Combes, 82400 Golfech			27/11/2004	20040048	5367	
			16/09/2004	Déclaration à la sous-préfecture de Draguignan. 	83600	ASSOCIATION DES LOCATAIRES DE L'HELIOTROPE. 			défendre les intérêts des locataires ; favoriser les rapports entre les voisins ; gérer l'état général du lotissement. 			6	26 L'Héliotrope, 339, avenue René-Couzinet, 83600 Fréjus			27/11/2004	20040048	5367	
			4/10/2004	Déclaration à la sous-préfecture de Draguignan. 	83680	L'ECOLE DES PETITS GUITARISTES. 			enseigner la musiuque, une musique basée sur les guitares et d'autres instruments à cordes tels que le sitar, le banjo et le luth ; l'objectif final est de réaliser des concerts de petits orchestres. 			5	16, rue Longue, 83680 La Garde-Freinet			27/11/2004	20040048	5367	
			7/10/2004	Déclaration à la sous-préfecture de Draguignan. 	83600	THEATRE EN CHEMIN - LES SOURCIERS. 			création de spectacles, cours de théâtre, tournées de spectacles ; adaptation au théâtre d'oeuvres littéraires ; activités se rattachant à l'objet statutaire (scénographie, lumière, son...) ; création bibliothèque théâtrale ; organisation et participation de stages ; aide et soutien aux enfants malades et défavorisés. 			5,10	domaine du Pin de la Lègue, B.P. 2249, 83600 Fréjus			27/11/2004	20040048	5367	
			8/10/2004	Déclaration à la sous-préfecture de Draguignan. 	83420	GEOFFREY RACING-TEAM. 			réunir des fonds afin que Geoffrey ainsi que des jeunes sportifs puissent pratiquer un sport (le kart) en compétition et ligue. 			15	2, rue des Genêts, 83420 La Croix-Valmer		corinnejoannon@wanadoo.fr	27/11/2004	20040048	5367	
			11/10/2004	Déclaration à la préfecture du Var. 	83000	ASSOCIATION DE DEFENSE DES RIVERAINS, USAGERS ET PROPRIETAIRES DU CHEMIN DE MOGADOR. 			respect de la liberté d'accès, de la sécurité, de l'entretien du chemin et des villas desservies. 			6,14,9	167, chemin de Mogador, 83000 Toulon			27/11/2004	20040048	5367	
			11/10/2004	Déclaration à la sous-préfecture de Draguignan. 	83440	ASSOCIATION DES USAGERS COMMERCE DU CADRAN AUX FLEURS DE NICE (ASS.U.C.-NICE). 			représentation des usagers commerce du Cadran aux fleurs de Nice auprès de l'organisme gestionnaire, auprès de tout organisme ou interlocuteur pouvant aider les entreprises adhérentes dans la recherche de solutions d'approvisionnement. 			7	43, rue Robert-Fabre, 83440 Fayence			27/11/2004	20040048	5367	
			11/10/2004	Déclaration à la sous-préfecture de Draguignan. 	83990	UNION SPORTIVE TROPEZIENNE KARTING COMPETITION. 			pratique du sport automobile. 			15	rue François-Sibilli, 83990 Saint-Tropez			27/11/2004	20040048	5368	
			15/10/2004	Déclaration à la sous-préfecture de Draguignan. 	83300	(YET ANOTHER ELECTRO WEBZINE ? (Y.A.E.W. ?). 			développement, production, promotion, diffusion par tout moyen des musiques contemporaines en Europe ainsi que des activités artistiques connexes notamment par un site internet. 			5,3	109, avenue Julien-Cazelles, lotissement Renoux, 83300 Draguignan			27/11/2004	20040048	5368	
			18/10/2004	Déclaration à la préfecture du Var. 	83400	ANIMA CORSA. 			regrouper, sous un même statut, des personnes d'opinions différentes, dans un pacte d'amitié et de fraternité ; aider les membres de l'association à faire face à certaines difficultés, dans un esprit de solidarité ; promouvoir des rencontres de loisirs et d'animations dans un esprit de bonne convivialité ; organiser des débats pour promouvoir des idées et favoriser l'essor de la culture corse dans le Var ; développer l'étude de la langue corse ; aider des associations à caractère social et humanitaire en Corse et sur le continent ; porter des actions sociales, culturelles, sportives et intellectuelles, ainsi que toutes activités se rattachant directement ou indirectement à l'objet ci-avant ou susceptibles d'en faciliter la réalisation. 			14,11	bar Le Don Miguel, 1, avenue Aristide-Briand, 83400 Hyères			27/11/2004	20040048	5368	
			18/10/2004	Déclaration à la préfecture du Var. 	83000	FRANCE ENFANCE MALTRAITANCE 83. 			protéger les enfants contre toute forme d'abus et de maltraitance, divorce des parents, viols, disparitions d'enfants. 			6,14	129, avenue de la Palasse, 83000 Toulon			27/11/2004	20040048	5368	
			21/10/2004	Déclaration à la préfecture du Var. 	83500	6CLONES. 			favoriser, développer, promouvoir ou soutenir des actions de développement, de réflexion, d'information ou de protection de l'environnement, des projets universitaires liés à la protection de l'environnement et/ou utilisant des outils multimédias (site Internet, portail Web, documents audiovisuels, CD-Rom, DVD, etc.) ; l'association se donne également la possibilité, par tous les moyens légaux, d'aider à l'organisation d'autres structures de même objet. 			6,9	Les Collines de Tamaris, bâtiment 7, 83500 La Seyne-sur-Mer	www.6clones.com		27/11/2004	20040048	5368	
			22/10/2004	Déclaration à la préfecture du Var. 	83130	BUREAU DES ETUDIANTS STAPS. 			permettre aux étudiants et aux personnels de l'UFR STAPS de l'université du Sud Toulon - Var de pratiquer des activités physiques et sportives événementielles et de participer à la vie socioculturelle des étudiants STAPS. 			15,11,14	bureau des étudiants STAPS, UFR STAPS, bâtiment K, scolarité, université du Sud Toulon - Var, 83130 La Garde			27/11/2004	20040048	5368	
			22/10/2004	Déclaration à la préfecture du Var. 	83000	ITINERAIRE TALENTS EMPLOI (ITE). 			proposer à tout collégien, lycéen, étudiant, en accord avec sa famille et/ou son établissement scolaire (pour les mineurs), l'accès à l'outil CGP qui permet de discerner les talents innés qui fondent sa personnalité en vue de l'aider à choisir l'orientation la mieux adaptée pour son épanouissement et l'exercice de sa vie professionnelle (vocation) ; permettre, par un entretien approfondi avec un intervenant, d'apprécier les points forts de sa personnalité, de découvrir ses talents afin de lui permettre d'emprunter le bon itinéraire pour le conduire à l'emploi le mieux adapté et lui permettre de répondre au mieux à sa vocation ; offrir une conduite accompagnée à l'élève et/ou à sa famille pour mettre en place une stratégie concertée, pluridisciplinaire, en vue de libérer, valoriser et faire croître les talents discernés, et pour rechercher les meilleures sources d'information sur les possibles orientations qui auront été décidées ; s'engager, par contrat élèves - association, à poursuivre le travail de recherche commun tant que nécessaire, ce contrat ne prenant fin qu'au terme d'une solution satisfaisante pour les élèves dans le cadre de l'année scolaire considérée ; rechercher les moyens qui permettent à ce dispositif d'orientation scolaire d'être le plus efficace possible. 			8,14,10	215, avenue de la Victoire, 83000 Toulon		fr.paquet@wanadoo.fr	27/11/2004	20040048	5368	
			22/10/2004	Déclaration à la préfecture du Var. 	83500	FULL MOON SOUND SYSTEM. 			regrouper plusieurs corps d'artistes, bénévoles, amateurs et professionnels, principalement dans le but d'échanges artistiques et culturels, nationaux et internationaux ; l'association s'inscrit principalement dans le champ des musiques actuelles et amplifiées, sans exclure d'autres domaines ; ses applications permettent la réalisation, la diffusion, la production de spectacles vivants pluridisciplinaires ; cet éventail de moyens engendre des supports pour les artistes, leur permettant de promouvoir leur art. 			5	994, chemin de Brémond, 83500 La Seyne-sur-Mer			27/11/2004	20040048	5368	
			22/10/2004	Déclaration à la préfecture du Var. 	83430	ASSOCIATION DES COMMERÇANTS ET ARTISANS DE SAINT-MANDRIER-SUR-MER DU CREUX SAINT-GEORGES. 			favoriser, par tous les moyens appropriés, sur le plan local, régional, national, le développement économique du commerce et de l'artisanat du centre-ville de Saint-Mandrier-sur-Mer. 			7	mairie, place des Résistants, 83430 Saint-Mandrier-sur-Mer			27/11/2004	20040048	5368	
			22/10/2004	Déclaration à la préfecture du Var. 	83400	SURDI-PSY. 			aider les personnes atteintes de surdité à résoudre leurs difficultés personnelles, relationnelles, comportementales, afin d'améliorer leur qualité de vie et leur intégration dans le tissu social ; dans cette optique, l'association se donne pour mission de promouvoir l'accès à la psychothérapie pour les personnes sourdes, devenues sourdes, malentendantes en souffrance psychique, l'objectif étant de développer à la fois le soin et la prévention des situations de crise et d'isolement ; l'association informera les usagers de l'existence de cet espace d'écoute et de parole en LSF éventuellement, en favorisant des rencontres ou tout autre moyen qui puisse en faciliter l'accès ; elle pourra également promouvoir cette démarche de soin médiatisé par la LSF auprès des institutions spécialisées ainsi que des professionnels peu ou pas sensibilisés aux problèmes que rencontre le public sourd ou malentendant, dans une perspective de mise en réseau ; cet espace thérapeutique est ouvert aux enfants, adolescents, adultes ; un soutien psychologique est également prévu pour les proches - en particulier les familles - concernés de près par cette spécificité sensorielle ; cet accompagnement se fera sous forme soit d'entretiens individuels, soit de rencontres de groupe ; une contribution symbolique pour participation aux frais de fonctionnement sera demandée aux usagers ; une interprète pourra éventuellement intervenir, de manière ponctuelle, selon les difficultés liées au langage gestuel. 			14	18, boulevard d'Orient, 83400 Hyères			27/11/2004	20040048	5368	
			22/10/2004	Déclaration à la préfecture du Var. 	83140	SQUARE METERS FREE-S.M.F. 			constituer une alliance d'êtres humains libres et de bonnes moeurs, de toutes nationalités et de toutes croyances, afin de rendre aux populations vivant dans des zones contaminées par les mines antipersonnel et tous autres engins explosifs de grandes surfaces libres leur permettant de reprendre les activités agricoles et sociales ; pour réaliser cette libération de grandes zones polluées, l'association se fixe les objectifs suivants : participer activement contre l'emploi des mines antipersonnel et le faire savoir ; gérer complètement une opération de déminage humanitaire en manageant tous les opérateurs, se traduisant par les actions suivantes : mettre en place un programme de sensibilisation et d'information sur les mines antipersonnel et autres engins explosifs au profit de la population locale ; sélectionner les opérateurs de déminage, selon leur vocation et leurs compétences (déminage manuel, robotisé et autres) ; effectuer le contrôle qualité des opérations menées ; effectuer l'assurance qualité des zones traitées ; participer à l'élaboration des moyens de déminage qu'ils soient manuels ou robotisés ; apporter une assistance médicale sur les zones à dépolluer au profit des populations ; promouvoir la réhabilitation des sols agricoles pour les populations. 			99	résidence Le Diamant Bleu, immeuble Le Saphir, corniche de Solviou, 83140 Six-Fours-les-Plages		celine.velez@wanadoo.fr	27/11/2004	20040048	5368	
			25/10/2004	Déclaration à la préfecture du Var. 	83000	POUR LA CITE HUMAINE, LES DROITS DU PIETON. 			défendre et sauvegarder les droits du piéton dans tous les domaines et plus particulièrement auprès des pouvoirs publics chargés de réglementer la circulation routière ; participer à l'éducation des piétons, en particulier des enfants, et faire toutes informations et actions auprès de ceux-ci afin de les persuader de respecter les règles établies en vue de leur propre sécurité et de ne pas ignorer les sujétions des conducteurs de véhicules de tous ordres ; prêter assistance, dans toute la mesure du possible et sur tous les plans, aux adhérents et à leurs familles, victimes d'accidents dus à la circulation routière ; intervenir auprès des pouvoirs publics afin que soient préservés les espaces verts, les lieux de repos, de résidence, de jeux d'enfants, la spécificité et l'intégrité des trottoirs ; en résumé, mener toute action afin que les piétons puissent circuler en toute sécurité, tout en facilitant la sécurité routière (zones piétonnes et pistes cyclables, sentiers, passages souterrains, protection des sorties d'écoles, etc.) et l'amélioration et le développement des transports en commun. 			6,14	Le Square, C, 404, avenue François-Cuzin, 83000 Toulon			27/11/2004	20040048	5369	
			25/10/2004	Déclaration à la préfecture du Var. 	83740	VERSATILE MUSIQUE PROJET (V.M.P.). 			gérer un ensemble d'actions et d'activités à caractère social, culturel, éducatif et de loisirs au travers de l'art ; susciter et promouvoir toute initiative propre à dynamiser les projets individuels et collectifs valorisant l'art comme essentiel des cultures et des peuples. 			14,5,11	1234, chemin de la Laugne, 83740 La Cadière-d'Azur			27/11/2004	20040048	5369	
			25/10/2004	Déclaration à la préfecture du Var. 	83500	CULTURES EN MOUVEMENT. 			mettre en place des projets qui visent, à travers une approche ethnographique, à valoriser les pratiques artistiques et culturelles de différents groupes ethniques, et ce sans discrimination ; à travers l'expression de leurs histoires, leurs croyances, leurs organisations sociales et leurs traditions, l'association souhaite promouvoir un patrimoine générateur de lien social. 			5,14,10	villa Serena, appartement 53, chemin Santeri, 83500 La Seyne-sur-Mer			27/11/2004	20040048	5369	
			26/10/2004	Déclaration à la préfecture du Var. 	83140	ASSOCIATION AERONAUTIQUE FRANCE-LETTONIE. 			développer, notamment avec la Lettonie, des échanges culturels, l'insertion des jeunes par la pratique des sports aéronautiques en général et l'ULM en particulier. 			5,14,7	1445, avenue Laennec, 83140 Six-Fours-les-Plages		nicolas.mehault@laposte.net	27/11/2004	20040048	5369	
			26/10/2004	Déclaration à la préfecture du Var. 	83200	PATIN COUFFIN. 			développer le goût de l'écriture en partageant et en échangeant des informations culturelles, pratiques et ludiques. 			5,11	H.L.M. la Beaucaire, bâtiment 62, impasse des Capucines, 83200 Toulon		patincouffinvar@aol.com	27/11/2004	20040048	5369	
			26/10/2004	Déclaration à la préfecture du Var. 	83140	ATELIER COULEURS DU TEMPS. 			organiser un atelier de travaux manuels, de créations diverses, sur tous supports, dans le but d'un partage de savoir, en prévision de ventes pour l'association. 			5,11	Le Coteau des Cabris, 2230, avenue J.-Kennedy, 83140 Six-Fours-les-Plages			27/11/2004	20040048	5369	
			26/10/2004	Déclaration à la préfecture du Var. 	83330	ASSOCIATION D'ASSISTANCE BENEVOLE ADMINISTRATIVE ET JURIDIQUE AMIABLE. 			aider les personnes, notamment âgées ou défavorisées. 			14	10, domaine du Saint-Clair, Le Castellet, 83330 Le Beausset			27/11/2004	20040048	5369	
			26/10/2004	Déclaration à la préfecture du Var. 	83200	SPORTS, LOISIRS, ANIMATIONS, JEUNESSE (S.L.A.J.). 			créer, animer et gérer toute action à caractère éducatif, culturel, social ou de loisirs ; organiser la gestion, la formation et le perfectionnement des personnels socio-éducatifs ainsi que la gestion d'équipements et de structures socioculturels ; l'association n'a aucun caractère politique, syndical ou confessionnel. 			5,14,11	maison Charles-Vidal, place Jean-Moulin, 83200 Le Revest-les-Eaux			27/11/2004	20040048	5369	
			26/10/2004	Déclaration à la préfecture du Var. 	83400	ABADA-CAPOEIRA VAR. 			faire découvrir l'art et la culture de la capoeira, discipline originaire du Brésil, en initiant et en formant les enfants, à partir de huit ans, et les adultes à sa pratique corporelle et instrumentale, ainsi qu'à ses chants traditionnels. 			5	1, place de la République, 83400 Hyères	www.abada-capoeira-var.fr.st	abada_capoeira_var@hotmail.com	27/11/2004	20040048	5369	
			26/10/2004	Déclaration à la préfecture du Var. 	83220	AKASHA. 			promouvoir la sophrologie, la relaxation, le développement personnel, l'harmonisation du corps et de l'esprit, une relation d'aide par diverses méthodes holistiques, bien-être corporel et mental. 			10,13	67, rue Claude-Debussy, 83220 Le Pradet			27/11/2004	20040048	5369	
			28/10/2004	Déclaration à la préfecture du Var. 	83140	L'ECOLE PARTAGEE. 			offrir un ensemble d'activités culturelles, sportives, socioculturelles, artistiques, de loisirs et d'accompagnement à la scolarité ; l'association se veut complémentaire et partenaire de l'école dans les temps périscolaires ; elle a pour objectif de développer l'épanouissement personnel de l'enfant et du jeune, de participer à sa réussite scolaire et d'aménager son rythme de vie. 			5,15,14	67, traverse Bayle, La Pampa A 2, 83140 Six-Fours-les-Plages		sophie.chomel@guideo.fr	27/11/2004	20040048	5369	
			28/10/2004	Déclaration à la préfecture du Var. 	83400	RENAISSANCE ET FRATERNITE DES ILES D'OR. 			recherche de la vérité, étude de la morale et pratique de la solidarité. 			10,14	1177, route de Toulon, rond-point Saint-Gervais, 83400 Hyères			27/11/2004	20040048	5369	
			28/10/2004	Déclaration à la préfecture du Var. 	83210	HENNA. 			quête de la compréhension de la nature humaine elle a pour objectif de développer des activités explorant les liens de recherche et l'acceptation de soi à travers des séminaires, cycles d'enseignement et d'ouvrage. 			10	55, impasse de la Mauvis, 83210 La Farlède		nadeige.montagne@wanadoo.fr	27/11/2004	20040048	5369	
			28/10/2004	Déclaration à la préfecture du Var. 	83430	RAMEURS DU CREUX SAINT-GEORGES. 			pratique de toute activité pour le développement du corps et de l'esprit. 			15,11	place des Résistants, 83430 Saint-Mandrier-sur-Mer			27/11/2004	20040048	5369	
			28/10/2004	Déclaration à la préfecture du Var. 	83400	JUKE-BOX & CO. 			susciter, développer et motiver le goût de la représentation théâtrale, cabaret, music-hall ; pratique d'activités de loisirs, animation disc-jockey, karaoké, toutes prestations de sonorisations et d'éclairages. 			5,11	19, boulevard de la Lazarine, bâtiment le Lazarine, 83400 Hyères			27/11/2004	20040048	5369	
			3/11/2004	Déclaration à la sous-préfecture de Draguignan. 	83340	AIDES AUX PERSONNES AGEES EN RESIDENCES MEDICALISEES DESIGNEES PLUS COMMUNEMENT SOUS LE SIGLE APARMED. 			venir en aide aux résidents hébergés dans les établissements de soins de longue durée en leur procurant des moyens pour animer leur séjour et employer tout autre moyen lié directement ou indirectement à son activité propre à promouvoir son action au-delà de son secteur local. 			14	49, rue Jean-Jaurès, 83340 Le Luc			27/11/2004	20040048	5370	
			16/08/2004	Déclaration à la préfecture du Var. 	83210		LES AMIS DE CLARISSE ET DE LA FONDATION CHARLES-DUFOUR OUAGA-TOUCAS (L.A.C.L.E.F.).	LES AMIS DE CLARISSE ET DES ENFANTS DU FASO (L.A.C.L.E.F.). 		soutenir et aider, par des projets précis et concertés, des structures et des jeunes dans le besoin au Burkina Faso ; elle pourra aussi soutenir des projets de réinsertion sociale d'enfants et de jeunes déshérités ; l'association aura aussi à coeur, à travers ses manifestations, de faire connaître la culture africaine. 		14	395, avenue Tourdias, B.P. 15, 83210 Solliès-Toucas	www.lesamisdeclarisse.fr.st	lesamisdeclarisse@fr.st	27/11/2004	20040048	5370	
			23/08/2004	Déclaration à la préfecture du Var. 	83500		KIWANIS-CLUB LE BEAUSSET JOSEPHINE BAKER.	KIWANIS-CLUB SANARY - LE BEAUSSET JOSEPHINE BAKER. 				14,5	Novotel, sortie autoroute B 52, 83500 La Seyne-sur-Mer			27/11/2004	20040048	5370	
			27/08/2004	Déclaration à la préfecture du Var. 	83409	LES AMIS DE LA TERRE DE HYERES. 						14,9	résidence le Saint-Saens, 6 A, chemin de la Villette, 83400 Hyères		atheres@cegetel.net	27/11/2004	20040048	5370	
			20/10/2004	Déclaration à la sous-préfecture de Draguignan. 	83600	CLUB SYMPATHIQUE PALANQUEE. 						11	325, boulevard des Ferrières, 83490 Le Muy			27/11/2004	20040048	5370	
			22/10/2004	Déclaration à la préfecture du Var. 	83260	OFFICE DU TOURISME DE LA CRAU. 						5,11	hôtel de ville, rue Renaude, 83260 La Crau			27/11/2004	20040048	5370	
			22/10/2004	Déclaration à la préfecture du Var. 	83000		NIRVANA BIKE.	NIRVANA BIKE-SNLA. 		vélo tout-terrain, course à pied ; raid extrême ; organisation de manifestations sportives nature, trail et raid. 		11	résidence Le Sezio, 83130 La Garde			27/11/2004	20040048	5370	
			22/10/2004	Déclaration à la préfecture du Var. 	83500	ASSOCIATION DES RETRAITÉS MUNICIPAUX SEYNOIS. 						11	la Rotonde, rond-point Tousssaint-Merle, 13, rue Gounod, 83500 La Seyne-sur-Mer			27/11/2004	20040048	5370	
			25/10/2004	Déclaration à la préfecture du Var. 	83000	CONSEIL DEPARTEMENTAL DE PARENTS D'ELEVES LAIQUES DES ETABLISSEMENTS D'ENSEIGNEMENT PUBLIC DU VAR. 				regrouper l'ensemble des parents d'élèves des établissements d'enseignement public et laïque du département ; formuler en leur nom des voeux sur tout objet concernant les intérêts moraux et matériels de l'enseignement public, des élèves qui la fréquentent et de leurs parents, en suivre la réalisation et veiller à leur application ; coordonner sur le plan départemental l'activité des conseils locaux et les représenter auprès des pouvoirs publics ; en particulier, ester en justice en lieu et place des conseils locaux, des élus locaux FCPE ou des adhérents des différents établissements scolaires du département et cela par devant toutes les juridictions civiles, pénales ou administratives, de première instance comme d'appel, le CDPE 83, association régulièrement déclarée en préfecture, est seul doté d'une personnalité juridique, siégeant au CDEN ; il peut de sa propre initiative, et dans l'intérêt des enfants ou des familles, intervenir dans tout établissement scolaire du département ; rassembler et éditer, à l'intention des familles et des conseils locaux, toute documentation relative à ses buts, aux études et débouchés scolaires et professionnels ; propager et défendre l'idéal laïque, promouvoir et créer un service national public d'éducation de formation initiale gratuit et de qualité pour chaque jeune, quelles que soient ses origines sociales, culturelles, confessionnelles ou philosophiques afin d'apporter à chacun des élèves le plus complet épanouissement de sa personnalité et des meilleures chances d'insertion sociale ; d'une façon générale, susciter et poursuivre toutes actions capables de développer son rôle de mouvement d'éducation permanente, accroître le rayonnement de l'enseignement public et coordonner l'action éducative des parents et des éducateurs de leurs enfants ; oeuvrer à la reconnaissance du rôle des parents d'élèves dans le système éducatif et au développement de la participation et du partenariat institutionnel avec les associations de parents ; l'association s'interdit toute discussion étrangère à ses buts, et en particulier toute discussion à caractère politique, syndical ou religieux ; permettre l'organisation de toute manifestation à prestation de service, au bénéfice de ses adhérents, dans le cadre de la défense ou du développement des buts ci-dessus rappelés. 		14,8,6	rue Jean-Bartolini, la Rode, 83000 Toulon			27/11/2004	20040048	5370	
			27/10/2004	Déclaration à la préfecture du Var. 	83000		COOPERATIVE LA LOUBIERE.	ASSOCIATION POUR LA MATERNELLE LA LOUBIERE. 		développer les moyens éducatifs de l'école en se donnant les ressources nécessaires pour l'achat de matériel supplémentaire. 		8,14	école maternelle La Loubière, place Laporterie, 83000 Toulon			27/11/2004	20040048	5370	
			27/10/2004	Déclaration à la préfecture du Var. 	83130	RESSOURCE. 						99	265, mail de La Planquette, 83130 La Garde		ressource-asso@wanadoo.fr	27/11/2004	20040048	5370	
			27/10/2004	Déclaration à la préfecture du Var. 	83130	LES AMIS DE JEAN-LOUIS MASSON. 						99	89, allée des Glygines, jardin des Crêtes, 83130 La Garde			27/11/2004	20040048	5370	
			28/10/2004	Déclaration à la préfecture du Var. 	83330	PASSAGERS DU VENT. 						99	588, chemin Fontanieu, 83200 Le Revest-les-Eaux			27/11/2004	20040048	5370	
			15/10/2004	Déclaration à la sous-préfecture de Draguignan. 	83007	AMICALE DES EVAT DE LA 1re COMPAGNIE DU GONBC. 						99	EAA, quartier Bonaparte-GONBC, B.P. 292, 83007 Draguignan Cedex			27/11/2004	20040048	5370	
			18/10/2004	Déclaration à la préfecture du Var. 	83400	AMICALE DES SOUS-OFFICIERS DU 54E RÉGIMENT D'ARTILLERIE. 						11	54e régiment d'artillerie, quartier Vassaigne, avenue du XVe-Corps, B.P. 205, 83400 Hyères			27/11/2004	20040048	5370	
			18/10/2004	Déclaration à la préfecture du Var. 	83400	CLUB DES LIEUTENANTS DU 54e REGIMENT D'ARTILLERIE. 						11	54e régiment d'artillerie, cercle mess de garnison, 1, rue Séré-de-Rivière, 83400 Hyères			27/11/2004	20040048	5371	
			18/10/2004	Déclaration à la préfecture du Var. 	83400	AMICALE DES CADRES DE LA BATTERIE DE COMMANDEMENT ET DE LOGISTIQUE DU 54e REGIMENT D'ARTILLERIE. 						11	54e régiment d'artillerie, quartier Vassaigne, avenue du XVe-Corps, B.P. 205, 83400 Hyères			27/11/2004	20040048	5371	
			18/10/2004	Déclaration à la préfecture du Var. 	83400	AMICALE DES CADRES DE LA BATTERIE DE DEFENSE ET D'INSTRUCTION DU 54e REGIMENT D'ARTILLERIE. 						11	54e régiment d'artillerie, Cen Mastorino, D.R.H., quartier Vassaigne, avenue du XVe-Corps, 83400 Hyères			27/11/2004	20040048	5371	
